//rtl8821c version = 54
// Format:							
//							
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//							
//		Power Limit Table Parameter Definition					
//
//		@@Ver=2.0
//
//		Version 2.0 support to add regulations in the Power Limit Table form column 4.                  
//		Customers can add new regulations by using DomainCode or CountryConde(ISO 3166-2).
//
//		Syntax:		
//			1. @@DomainCode=xx,  Regulation=xx
//			2. @@CountryCode=xx,  Regulation=xx
//
//		ex.
//			   @@DomainCode=0x2B, Regulation=IC	//RTK define domain code 0x2B for IC in colume 4
//			   @@DomainCode=0x28, Regulation=KCC	//RTK define domain code 0x28 for KCC in colume 5
//			   @@DomainCode=0x62, Regulation=C6	//Customer define domain code 0x62 for C6 in colume 6
//			   @@CountryCode=US, Regulation=C6	//Customer define country code US for C6 in colume 6
//			   @@CountryCode=GB, Regulation=C7	//Customer define country code GB for C7 in colume 7
//
//		One DomainCode MUST has only one Regulation in Table.
//		One CountyCode MUST has only one Regulation in Table.
//
//		Error Syntax:                                    
//
//			   @@DomainCode=0x2D, Regulation=C6	
//			   @@DomainCode=0x2D, Regulation=C7
//			   @@CountryCode=US, Regulation=C8	
//			   @@CountryCode=US, Regulation=C9
//
//		
//
//		Band:			    2.4G/5G		
//		Bandwidth:		20/40/80/160 MHZ			
//		RF Path:		1/2/3/4 Transmit RF			
//		Rate Section:	CCK/OFDM/HT/VHT				
//		Regulation: 	FCC/ETSI/MKK/IC/KCC/...				
//							
//		Description:					
//		1. IF in 1T test
//		2. power is real dBm.					
//		3. // is for comment.					
//							
// 		NA is non-release channel.					
//		WW is world wide limited.					
//							
@@Ver=2.0
@@DomainCode=0x2B, Regulation=IC
@@DomainCode=0x28, Regulation=KCC
@@DomainCode=0x45, Regulation=ACMA
@@DomainCode=0x2D, Regulation=CHILE
@@DomainCode=0x36, Regulation=UKRAINE
//					
//Table 1: ===========================================							
//							
##	2.4G, 20M, 1T, CCK, //(1M;2M;5.5M;11M)						
##	START
##	#8#	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE
CH01	15	15	17	15	17	15	15	15
CH02	16	15	17	16	17	15	16	15
CH03	16	15	17	16	17	15	16	15
CH04	16	15	17	16	17	15	16	15
CH05	16	15	17	16	17	15	16	15
CH06	16	15	17	16	17	15	16	15
CH07	16	15	17	16	17	15	16	15
CH08	16	15	17	16	17	15	16	15
CH09	16	15	17	16	17	15	16	15
CH10	16	15	17	16	17	15	16	15
CH11	16	15	17	16	17	15	16	15
CH12	12	15	17	12	17	15	12	15
CH13	8	15	17	8	17	15	8	15
CH14	NA	NA	17	NA	NA	NA	NA	NA
##	END						
//							
//Table 2: ===========================================							
//							
##	2.4G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#8#	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE
CH01	15	15	17	15	16	15	15	15
CH02	16	15	17	16	17	15	16	15
CH03	17	15	17	17	17	15	17	15
CH04	17	15	17	17	17	15	17	15
CH05	17	15	17	17	17	15	17	15
CH06	17	15	17	17	17	15	17	15
CH07	17	15	17	17	17	15	17	15
CH08	17	15	17	17	17	15	17	15
CH09	17	15	17	17	17	15	17	15
CH10	16	15	17	16	17	15	16	15
CH11	15	15	17	15	17	15	15	15
CH12	14	15	17	14	17	15	14	15
CH13	8	15	17	8	16	15	8	15
CH14	NA	NA	NA	NA	NA	NA	NA	NA
##	END						
//							
//Table 3: ===========================================							
//							
##	2.4G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#8#	FCC	ETSI	MKK	IC	KCC	ACMA	CHILE	UKRAINE
CH01	13	15	17	13	16	15	13	15
CH02	15	15	17	15	17	15	15	15
CH03	16	15	17	16	17	15	16	15
CH04	17	15	17	17	17	15	17	15
CH05	17	15	17	17	17	15	17	15
CH06	17	15	17	17	17	15	17	15
CH07	17	15	17	17	17	15	17	15
CH08	17	15	17	17	17	15	17	15
CH09	16	15	17	16	17	15	16	15
CH10	15	15	17	15	17	15	15	15
CH11	14	15	17	14	17	15	14	15
CH12	13	15	17	13	17	15	13	15
CH13	6	15	17	6	16	15	6	15
CH14	NA	NA	NA	NA	NA	NA	NA	NA
##	END						
//							
//Table 4: ===========================================							
//TX power is mainly limited by IEEE TX mask                 							
